"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"297","16","0.4","10","categorical_crossentropy","softmax","Adamax","0.001","0.8820000290870667"
"298","16","0.4","10","categorical_crossentropy","softmax","Adamax","0.01","0.8500000238418579"
"299","16","0.4","10","categorical_crossentropy","softmax","Adamax","0.1","0.6320000290870667"
"300","16","0.4","10","categorical_crossentropy","softmax","Nadam","0.0001","0.8759999871253967"
"301","16","0.4","10","categorical_crossentropy","softmax","Nadam","0.001","0.8650000095367432"
"302","16","0.4","10","categorical_crossentropy","softmax","Nadam","0.01","0.8180000185966492"
"303","16","0.4","10","categorical_crossentropy","softmax","Nadam","0.1","0.4959999918937683"
"304","16","0.4","10","categorical_crossentropy","sigmoid","Adadelta","0.0001","0.49399998784065247"
"305","16","0.4","10","categorical_crossentropy","sigmoid","Adadelta","0.001","0.5019999742507935"
"306","16","0.4","10","categorical_crossentropy","sigmoid","Adadelta","0.01","0.5400000214576721"
"307","16","0.4","10","categorical_crossentropy","sigmoid","Adadelta","0.1","0.8379999995231628"
